id,object,created,owned_by,permission,permission_id,permission_object,permission_created,permission_allow_create_engine,permission_allow_sampling,permission_allow_logprobs,permission_allow_search_indices,permission_allow_view,permission_allow_fine_tuning,permission_organization,permission_group,permission_is_blocking
gpt-4,model,1687882411,openai,"[{'id': 'modelperm-ufulBjea4GV50lNUk7TL02lX', 'object': 'model_permission', 'created': 1691192558, 'allow_create_engine': False, 'allow_sampling': False, 'allow_logprobs': False, 'allow_search_indices': False, 'allow_view': False, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-ufulBjea4GV50lNUk7TL02lX,model_permission,1691192558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*,,FALSE
gpt-4-0314,model,1687882410,openai,"[{'id': 'modelperm-q9tcAQ9XhBjWdyxhWgFDYPaj', 'object': 'model_permission', 'created': 1691139822, 'allow_create_engine': False, 'allow_sampling': False, 'allow_logprobs': False, 'allow_search_indices': False, 'allow_view': False, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-q9tcAQ9XhBjWdyxhWgFDYPaj,model_permission,1691139822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*,,FALSE
gpt-4-0613,model,1686588896,openai,"[{'id': 'modelperm-CWAN7JBmKfHDxOehfVPukiEL', 'object': 'model_permission', 'created': 1691615947, 'allow_create_engine': False, 'allow_sampling': False, 'allow_logprobs': False, 'allow_search_indices': False, 'allow_view': False, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-CWAN7JBmKfHDxOehfVPukiEL,model_permission,1691615947,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*,,FALSE
gpt-3.5-turbo-0613,model,1686587434,openai,"[{'id': 'modelperm-XIXH7QF7QM60DDcON9eaGFfk', 'object': 'model_permission', 'created': 1690842445, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-XIXH7QF7QM60DDcON9eaGFfk,model_permission,1690842445,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
gpt-3.5-turbo-16k-0613,model,1685474247,openai,"[{'id': 'modelperm-pKdL77d1yxIxNMTEveJjuGO2', 'object': 'model_permission', 'created': 1691712115, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-pKdL77d1yxIxNMTEveJjuGO2,model_permission,1691712115,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
gpt-3.5-turbo-16k,model,1683758102,openai-internal,"[{'id': 'modelperm-SQXsS1PDYLBrJJqTg15X1jeQ', 'object': 'model_permission', 'created': 1691712126, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-SQXsS1PDYLBrJJqTg15X1jeQ,model_permission,1691712126,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
gpt-3.5-turbo-0301,model,1677649963,openai,"[{'id': 'modelperm-I4IcSJFYZl2fIK0DPSBkgK3d', 'object': 'model_permission', 'created': 1691712139, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-I4IcSJFYZl2fIK0DPSBkgK3d,model_permission,1691712139,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
gpt-3.5-turbo,model,1677610602,openai,"[{'id': 'modelperm-zy5TOjnE2zVaicIcKO9bQDgX', 'object': 'model_permission', 'created': 1690864883, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-zy5TOjnE2zVaicIcKO9bQDgX,model_permission,1690864883,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
whisper-1,model,1677532384,openai-internal,"[{'id': 'modelperm-YfjOENC37iATh6VsjLLpYdeq', 'object': 'model_permission', 'created': 1691514055, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-YfjOENC37iATh6VsjLLpYdeq,model_permission,1691514055,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-embedding-ada-002,model,1671217299,openai-internal,"[{'id': 'modelperm-F3BGCNGb0ChzFesHIYjbNYUX', 'object': 'model_permission', 'created': 1690865307, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-F3BGCNGb0ChzFesHIYjbNYUX,model_permission,1690865307,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-davinci-003,model,1669599635,openai-internal,"[{'id': 'modelperm-a6niqBmW2JaGmo0fDO7FEt1n', 'object': 'model_permission', 'created': 1690930172, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-a6niqBmW2JaGmo0fDO7FEt1n,model_permission,1690930172,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
ada-code-search-text,model,1651172510,openai-dev,"[{'id': 'modelperm-jWFKGhnNYXhMIJuYYBe8zKoH', 'object': 'model_permission', 'created': 1690864242, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-jWFKGhnNYXhMIJuYYBe8zKoH,model_permission,1690864242,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
babbage-search-document,model,1651172510,openai-dev,"[{'id': 'modelperm-FQiAIZXWHZ4yJl6b4X0JWpfw', 'object': 'model_permission', 'created': 1690864561, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-FQiAIZXWHZ4yJl6b4X0JWpfw,model_permission,1690864561,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
